title,genre,director,country,year
"Манцикерт, 1071-й",исторический фильм,"Озгюр Бакар,Билал Калёнку",,
Меню,"триллер,чёрная комедия,комедия ужасов",Марк  Майлод,,2022
Мегрэ и таинственная девушка,,,,
Марлоу,"нуар,триллер",,,2022
"Мальчик, Крот, Лис и Конь",,,,
Маленький пакет любви,драма,Гастон Солники,,2022
Любовь по вызову,комедийная драма,,,2022
Любовь как бестселлер,,,,2022
Мать/Андроид,научно-фантастический фильм,,,2021
Малыш Джо,драматический фильм,,,
Медея,драма,Александр Зельдович,,
Матрица: Воскрешение,"киберпанк,постапокалиптика,научная фантастика,боевик,антиутопия,триллер",Лана Вачовски,,2021
Мария. Спасти Москву,драма,Вера Сторожева,,2021
Маргарита — королева Севера,историческая драма,,,
"Мама, я дома",драма,Владимир Битоков,,
"Марсель, ракушка в ботинках",Комедийная драма,Дин Флейшер-Кэмп,,
Мальчик по имени Рождество,фэнтезийный фильм,,,
Малькольм и Мари,романтический фильм,,,
Малышка,боевик,,,
Маленький воин,драма,Илья Ермолов,,
Маленькая мама,,Селин Сьямма,,
Мавританец,"триллер,драма",Кевин Макдональд,,2021
Мадам Икс,документальный фильм,,,2021
Маленькая рыбка,романтический фильм,,,
Любовь в Килнерри,"комедия,романтика",Дэниел Кит,,2021
Магазинные воришки всего мира,,,,2021
Миссия Ассасина,"боевик,триллер,криминал",,,2023
Микулай,драматический фильм,,,
Майор Гром: Чумной Доктор,"приключения,боевик,детектив,супергероика",Олег Трофим,,2021
Мертвецам не больно,,Вигго Мортенсен,,
Место преступления: Азра,криминальный фильм,,,
«Между отчаянием и надеждой»,Документальное кино,Анна Барсукова,,2023
Мёртвый сезон,драматический фильм,,,
Манодром,драматический фильм,,,
Маэстро,биографический фильм,Брэдли Купер,,2023
Мег 2: Бездна,"научно-фантастический,боевик",Бен Уитли,,
Материнское воскресенье,драматический фильм,Эва Юссон,,
Маргиналка,криминальный фильм,,,
Май декабрь,драматический фильм,,,
Мизантроп,фильм-триллер,Дамиан Сифрон,,2023
Лютер: Павшее солнце,драматический фильм,Джэми Пэйн,,2023
Криминальные боссы,,Кларк Дьюк,,2020
Крёстная мама,комедийный фильм,,,
Любо,драматический фильм,,,
