title,genre,director,country,year
Банкир,триллер,Уильям Уэбб,,1989
Астенический синдром,драма,Кира Муратова,,1989
Амитивилль 4: Зло спасается,"ужасы,триллер",,,
Американский ниндзя 3: Кровавая охота,боевик,Седрик Сандстром,,1989
Алхимик,фэнтези,Яцек Копрович,,
"Ад, или Досье на самого себя",драма,Геннадий Беглов,,1989
Австрийка,"драма,исторический фильм",Пьер Гранье-Дефер,,1989
Авария — дочь мента,драма,Михаил Туманишвили,,
А был ли Каротин?,"детективный фильм,комедия",Геннадий Полока,,
Бармен из «Золотого якоря»,"детективный,приключенческий",Виктор Живолуб,,1986
Атомная школа,"фантастика,хоррор","Ричард Хайнс,Майкл Херц,Ллойд Кауфман",,1986
Атака,кинодрама,Игорь Николаев,,1986
Арена неистовых,"драма,исторический фильм",Михаил Чиаурели,,1986
Аромат кукурузы,драма,,,1986
Баллада о старом оружии,"драма,приключенческий фильм",Геннадий Воронин,,1986
Аэропорт со служебного входа,производственная драма,Борис Яшин,,
Архангельский мужик,документальный фильм,Марина Голдовская,,1986
Бандит,драма,Клод Лелуш,,1986
Америка 3000,постапокалиптика,Дэвид Энгельбах,,1986
Арабески на тему Пиросмани,документальный фильм,Сергей Параджанов,,1986
Анна Тристер,Мелодрама,Леа Пул,,1986
Аллан Куотермейн и потерянный город золота,"приключения,боевик,комедия",,,
Аладдин и его волшебная лампа,"приключенческий фильм,комедия,семейный фильм,фэнтези",Тим Бёртон,,1986
Алый камень,,Валерий Исаков,,
Ампир,Триллер,Александр Сокуров,,1986
Анна Павлова,"драма,биография,исторический,музыкальный",Эмиль Лотяну,,
Абсолютные новички,"драма,фэнтези,мелодрама,мюзикл",,,1986
Афула Экспресс,комедийная драма,,,
Анна Каренина,"драма,любовная история",Бернард Роуз,,1997
"Афёры, музыка, любовь…",комедия,Георгий Юнгвальд-Хилькевич,,1997
Артемизия,,Аньес Мерле,,1997
Арлетт,"мелодрама,комедия,криминальный фильм",Клод Зиди,,1997
Апостол,драма,Роберт Дюваль,,1997
Английский пациент,,Энтони Мингелла,,
Анаконда,"приключенческий фильм,фильм ужасов,триллер,драма",Луис Льоса,,1997
Вон Фэйхун: Лев западных земель,"боевик,приключенческий фильм,исторический фильм",Саммо Хун,,1997
Американские горки,"криминальная драма,триллер,боевик",Джеб Стюарт,,1997
Авария,триллер,Джонатан Мостоу,,1997
Американка,"драма,трагикомедия",Дмитрий Месхиев,,1997
Американский оборотень в Париже,комедийный фильм ужасов,,,1997
Амистад,"историческая,драма",,,1997
Адвокат дьявола,"ужасы,триллер,драма",Тейлор Хэкфорд,,
20 000 лье под водой,"криминальный фильм,драма,триллер",Род Харди,,1997
"Бензин, еда, жилье",мелодрама,Эллисон Андерс,,1992
Абсолютная власть,"драма,триллер",Клинт Иствуд,,1997
187,"драма,триллер",Кевин Рейнольдс,,1997
Бесы,драма,"Игорь Таланкин,Дмитрий Таланкин",,1992
"Белый король, красная королева",мелодрама,Сергей Бодров (старший),,1992
Белые пески,"Детектив,Триллер,Драма",Роджер Дональдсон,,1992
Безумный рейс,комедия,,,1992
Безумные подмостки,комедия,Питер Богданович,,1992
Белые ночи,драма,Леонид Квинихидзе,,1992
Белые люди не умеют прыгать,"комедия,спорт",Рон Шелтон,,1992
Без ума от оружия,драма,Тамра Дэвис,,
Безумные годы,,Зоран Чалич,,
Безумная любовь,"мелодрама,комедия,боевик",Радж Канвар,,1992
Безумное лето на море!,комедия,Морис Мэрфи,,1992
В поисках Бобби Фишера,драма,Стивен Заиллян,,1993
В плену песков,детский фильм,,,
Великая княгиня Елисавета,"документальный фильм,исторический фильм",Лидия Киселёва,,1993
Бронксская повесть,драма,Роберт де Ниро,,1993
Дрейф,триллер,Кристиан Дюгей,,1993
Беглый огонь,боевик,Дуайт Литтл,,1992
Ветер с востока,драма,Робер Энрико,,1993
Бофа!,драма,Морган Фримен,,1993
Босоногий,"боевик,комедия",Джонни То,,1993
Богомол,триллер,Джеймс Кич,,1993
Без промахов,комедия,Баз Тейлор,,1992
Благотворительный бал,драма,Эфраим Севела,,1993
Бешеный пёс и Глория,"мелодрама,комедия",Джон МакНотон,,1993
Братья по крови,драма,Брюс Питтман,,1993
Блю,драматический фильм,Дерек Джармен,,1993
Бетховен 2,"комедия,семейный",,,1993
Вин-Чунь,"боевик,комедия,драма",Юнь Вопхин,,1994
Вечеринка с выстрелами по ногам,короткометражка,Аннетт Хэйвуд-Картер,,
Версия Браунинга,драма,Майк Фиггис,,1994
Великая криминальная революция,"документально,публицистический фильм",Станислав Говорухин,,1994
Вдвоём,"комедия,драма,мелодрама",Эндрю Кьярамонте,,1994
Ваня на 42-й улице,драма,Луи Маль,,1994
Вдовья гора,"комедия,мелодрама",Джон Ирвин,,1994
Бульварный роман,"драма,мелодрама",Василий Панин,,1995
Зона смертельной опасности,боевик,Стивен Сигал,,1994
В пылу страсти 2: Неверный,"триллер,драма",Кэтрин Киран,,1994
В погоне за оленем,Исторический,Грэм Холлоуэй,,
Будка у дороги,"драма,триллер",,,1995
Быстрый и мёртвый,вестерн,,,1995
Бомба,комедия,Зульфикар Мусаков,,1995
Большое путешествие,"комедия,приключенческий фильм",Келли Мекин,,1995
Бэйб: Четвероногий малыш,"комедия,драма",Крис Нунен,,1995
Братья Макмаллен,"мелодрама,драма,комедия",,,1995
Бойцы,боевик,,,
Бог знает,"боевик,криминальный фильм",,,1995
Бомбей,драматический фильм,Мани Ратнам,,1995
Бремя белого человека,драма,Десмонд Накано,,1995
Био-сила / Заражение,фантастика,Дэвид Прайор,,1995
Билли Мэдисон,комедия,Тамра Дэвис,,1995
Блеск славы,комедия,,,1995
Битва Шарпа,"боевик,приключенческий фильм,исторический фильм,военный фильм",,,1995
Благодать,документальный фильм,Виталий Манский,,1995
Водоворот судьбы,мелодрама,,,1996
Вечерняя звезда,"драма,комедия",Роберт Харлинг,,1996
Возвращение «Броненосца»,"комедия,приключенческий фильм",Геннадий Полока,,
Ветер в ивах,комедия,Терри Джонс,,1996
"Вещи, о которых я тебе никогда не говорила",комедийная драма,Изабель Койшет,,1996
Весь огромный мир,"биография,драма,мелодрама",Дэн Айрлэнд,,1996
"Вива, эротика","комедия,драма",Дерек И,,1996
Вдаль уплывают облака,драма,Аки Каурисмяки,,1996
Голубоглазый Микки,"Комедия,Мелодрама",Келли Макин,,1999
Верность,"комедия,мелодрама",Пол Мазурски,,
Годзилла 2000: Миллениум,фантастика,Такао Окавара,,1999
В поисках приключений,"боевые искусства,приключения",Жан-Клод Ван Дамм,,1996
Дадли Справедливый,"комедия,мелодрама,семейный",Хью Уилсон,,1999
Глубокое синее море,"ужасы,триллер,научная фантастика,экшн,приключения,Hip-hop,R&B",Ренни Харлин,,1999
В поисках Ричарда,драма,Аль Пачино,,1996
Бэйб: Поросёнок в городе,"семейный,комедийный",Джордж Миллер,,1998
Глория,"драма,триллер",Сидни Люмет,,1999
Бэзил,"драма,мелодрама",,,1998
Булворт,"романтический фильм,драма,комедия",Уоррен Битти,,1998
Быстро и без боли,"драма,криминальный фильм,мелодрама",Фатих Акин,,1998
Буги бой,"криминальный боевик,триллер",Крейг Хаманн,,1998
Братья Блюз 2000,бадди-муви,Джон Лэндис,,1998
Братки Ньютоны,комедийная драма,Ричард Линклейтер,,1998
Боязнь высоты,психологический триллер,Ларри Шоу,,1998
Вместе,комедия,Лукас Мудиссон,,2000
Виртуальный кошмар,,,,
Грустно умирать,"короткометражный,драма,комедия",Александр Биллон,,1999
Влюблённые,"мелодрама,драма",Адитья Чопра,,2000
Влюблённый Тома́,"комедия,драма,мелодрама",Пьер-Поль Рендер,,2000
Будь собой,"комедия,драма,мелодрама",Саймон Шор,,
Взлом,"биография,триллер",Джо Чэппелл,,2000
Взмах крыльев мотылька,"комедия,драма,мелодрама",,,2000
Вес воды,"триллер,детектив",Кэтрин Бигелоу,,2000
Вертикальный Предел,"боевик,триллер,приключения",Мартин Кэмпбелл,,2000
Вавилон-5: В начале,"драма,фантастика",Майкл Веяр,,1998
Большой Лебовски,"фарсовая,комедия",Джоэл Коэн,,
Гарвардская тусовка,"трагикомедия,криминальный фильм",Джеймс Тобэк,,
Где-то там,документальный фильм,Николаус Гейрхалтер,,2001
Ганнибал,"детектив,триллер",Ридли Скотт,,2001
Виртуальность,фантастика,Питер Берг,,2009
Всё схвачено!,"криминальная,комедия",Джон Фавро,,
Выбор капитана Корелли,"драма,мелодрама,музыкальный фильм",Джон Мэдден,,2001
Весенний отрыв,комедия,Райан Шираки,,2009
Гарри Поттер и философский камень,"фэнтези,приключения,семейный,музыка к фильму",Крис Коламбус,,2001
Вечный мир,комедия,Барри Левинсон,,2000
Весёлая жизнь в Крэктауне,драма,,,2009
Вышибалы,"драма,криминальный фильм","Брайан Коппельман,Дэвид Левиен",,2001
Весельчаки,трагикомедия,Феликс Михайлов,,2009
Вишневая бомба,"триллер,драма",,,2009
Верую!,драма,Лидия Боброва,,2009
Вертихвостки,"документальный фильм,биография,драма,мюзикл","Рафаэль Альварез,Татьяна Иза",,2009
Дженис и Джон,Комедия,Самюэль Беншетри,,2003
Джордж из джунглей,"Комедия,Семейный фильм,Приключения",,,
Гарри Поттер,"фэнтези,приключения,семейный,драма","Крис Коламбус,Альфонсо Куарон,Майкл Ньюэлл,Дэвид Йейтс",,"2001-11-16,2002-11-15,2004-06-04,2005-11-18,2007-07-11,2009-07-15,2010-11-19,2011-07-15,2016-11-18,2018-11-16"
Великое дело основания государства,исторический фильм,,,
Дети шпионов 3: Игра окончена,"Шпионская фантастика,комедийный боевик,семейный фильм",Роберт Родригес,,2003
Вероника решает умереть,Драма,Эмили Янг,,2009
Джильи,"комедия,драма",Мартин Брест,,2003
Девочки на море,Комедия,Лиза Нокс-Нервиг,,2003
Дежурный аптекарь,"криминальный фильм,драма,фильм ужасов,триллер",Жан Вебер,,2003
Дикий табун,"драма,боевик",Валерий Рожко,,2003
День расплаты,драма,Пол Макгиган,,2003
Дежурный папа,"комедия,семейный фильм",Стив Карр,,2003
Двое бродяг,драма,,,2005
Двойная рокировка 2,"триллер,криминальный фильм",,,2003
Девушка с жемчужной серёжкой,"драма,мелодрама",,,2003
Готика,"триллер,фильм ужасов,детектив",Матьё Кассовиц,,2003
"Гуд бай, Ленин!",Трагикомедия,Вольфганг Беккер,,2003
Двенадцать стульев,"Мюзикл,Комедия",Максим Паперник,,2004
Девочки из календаря,комедия,Найджел Коул,,2003
Дамы в лиловом,драматический фильм,,,
Грозовой перевал,"драма,мелодрама,музыкальный",,,2003
Давид и Лэйла: Беззаветная любовь,"романтическая,драма",,,2005
Грязная любовь,романтическая комедия,Джон Мэллори Эшер,,2005
Давилка 3: Возрождение,фильм ужасов,,,
Двойной форсаж,боевик,Джон Синглтон,,
Грустная история любви,"драма,мелодрама",Приядаршан,,2005
Горечь и сладость,"драма,боевик",Ким Чжи Ун,,2005
Городские легенды 3: Кровавая Мэри,"Слэшер,фильм ужасов о сверхъестественном",Мэри Ламберт,,2005
Гордость и предубеждение,драма,Джо Райт,,2005
Город грехов,"Неонуар,Триллер,Боевик","Роберт Родригес,Фрэнк Миллер,Квентин Тарантино",,2005
Грешники,фильм ужасов,Джон Пог,,2005
Год без любви,драма,,,2005
Гол!,"драма,мелодрама,спортивный,фильм",Дэнни Кэннон,,2005
Гном,комедия,Томаш Ворел,,2005
Глазами волка,"фантастика,триллер",Николай Вороновский,,2005
Город зла,фильм ужасов,Том Льюис,,2005
Голливудский финал,"комедия,мелодрама",Вуди Аллен,,2002
Говорящие с ветром,"военный фильм,драма",Джон Ву,,2002
Горбатая гора,"мелодрама,вестерн",Энг Ли,,2005
Говори мне о любви,драма,Софи Марсо,,2002
Глубина,"ужасы,триллер",Дэвид Туи,,2002
Годзилла против Мехагодзиллы 3,фантастика,,,2002
Две недели,"драма,комедия",,,2006
Глобальная угроза,Боевик,Терри Каннингем,,2002
Глаз,"фильм ужасов,мистический триллер,драма",,,2002
Две девушки,,Кутлуг Атаман,,
Гиностра,фильм-триллер,,,
Два велосипеда,документальное кино,Екатерина Суворова,,2006
Громобой,боевик,Джеффри Сакс,,2006
Глиняная птица,драма,,,2002
Грбавица,драма,Ясмила Жбанич,,
Граффити,"комедия,драма",Игорь Апасян,,2006
Граф Монтенегро,"приключенческий фильм,комедия",Марина Мигунова,,2006
Громовы,драма,Александр Баранов,,2006
Даника,"триллер,драма",Ариэль Вромен,,2006
Город секса,"Порнофильм,Порнофильм,Порнофильм","Пьер Вудман,Пьер Вудман,Пьер Вудман",,"2006,2006,2006"
Голубой пирог,комедия,Тодд Стефенс,,2006
Гетто,военный фильм,,,
Гимнастка,Мелодрама,Нед Фар,,2006
"Гавайи, Осло",драматический фильм,,,
Гензель и Гретель,детский фильм,,,2006
Гарольд и Кумар уходят в отрыв,"комедия,приключенческий фильм",Дэнни Лейнер,,2004
Гавань,"криминальный фильм,драма",Фрэнк Э. Флауэрс,,2004
Высший балл,"комедия,криминальный фильм",Брайан Роббинс,,2004
Вышибалы,кинокомедия,Роусон Маршалл Тёрбер,,2004
Глюки,"триллер,ужасы",Уильям Фридкин,,2006
Выходи за меня замуж,комедия,Дэвид Дхаван,,2004
Высшая школа,драма,Роберт Сэлис,,2004
Вымышленные герои,драма,Дэн Харрис,,2004
Грибы,фильм ужасов,Пэдди Бретнэк,,2007
Грех,драма,Станислав Митин,,2007
Грейси,драма,Дэвис Гуггенхайм,,2007
Грайндхаус,"хоррор,боевик,триллер","Роберт Родригес,Квентин Тарантино",,2007
Городское правосудие,"боевик,триллер",Дон Фонтлерой,,2007
Голубка,"драма,комедия,мелодрама",,,2008
Город Бога 2,драма,,,2007
Гриб-дождевик,"драма,фэнтези,фильм ужасов,триллер,мистика",Николас Роуг,,2007
Горец: Источник,"боевик,приключенческий фильм,фэнтези",Бретт Леонард,,2007
Граница,фильм ужасов,Ксавье Жанс,,2007
Голод,"драма,исторический",Стив Маккуин,,2008
Глобальный Метал,Документальный,Сэм Данн,,
Гитара,драма,,,2008
"Гидрокосмос. Нырнуть, чтобы взлететь",документальный,,,2008
Гигантик,"драма,мелодрама,комедия",,,2008
Глаз,"Фильм ужасов,Триллер","Дэвид Моро,Ксавьер Палю",,2008
Гитлер капут!,"фарсовая,пародийная,кинокомедия",Марюс Вайсберг,,
Ева Луна,"мелодрама,драма",Адриана Барраса,,
Ева: искусственный разум,,,,2011
Герцогиня,"биографический фильм,драма,исторический фильм",Сол Дибб,,2008
Дьявольская скала,"Фильм ужасов,боевик",,,2011
Дети Бога,драма,,,2010
Дети революции,документальный,Шэйн О’Салливан,,2010
Душа и персона,"неонуар,драма,боевик",Тхиагараджан Кумарараджа,,2011
Деревня,"Драма,Триллер",Роберт Зигль,,2010
Детектив Ди и тайна Призрачного Пламени,"Боевик,Детектив,Фэнтези",Цуй Харк,,2010
Дерево,"драма,мелодрама",Жюли Бертуччелли,,2010
Женщина в чёрном,,Джеймс Уоткинс,,2012
Жизнь — полная чаша,комедия,Приядаршан,,2012
Жёлтый,драматический фильм,,,
Жена художника,драма (жанр),Билле Аугуст,,2012
Жажда странствий,комедия,Дэвид Уэйн,,2012
"Если хочешь хорошо провести время, звони…",взрослая комедия,,,2012
Железный кулак,боевик,RZA,,2012
Золотая клетка,драма,Диего Кемада-Диес,,2013
Если все,"художественный фильм,драма",Наталья Беляускене,,2012
Золотая клетка,"комедия,драма",Рубен Алвес,,2013
Елена,документальный,Петра Коста,,
Железное небо,"фантастика,комедия,пародия,альтернативная история,политическая сатира",Тимо Вуоренсола,,2012
Земной апокалипсис,,Тандер Левин,,
Зеркала,драма,Марина Мигунова,,2013
Зловещие мертвецы: Чёрная книга,"фильм ужасов о сверхъестественном,тёмное фэнтези,боевик,сплэттер",Феде Альварес,,
Земля Чарли,драма,Рольф де Хеер,,2013
Зимний путь,драма,"Сергей Тарамаев,Любовь Львова",,2013
Дуэль братьев. История Adidas и Puma,,,,2016
Зелёный ад,"ужасы,триллер,сплэттер",Элай Рот,,2013
Захватывающее время,"мелодрама,драма,комедия",Джеймс Понсольдт,,2013
Зачётный препод,"кинокомедия,поп,рок,EDM",,,2013
Другие люди,комедийная драма,,,2016
Дочка,драматический фильм,,,
Другой мир: Войны крови,"фильм ужасов,боевик",Анна Ферстер,,2016
Дочь Бреста,Драма,Эмманюэль Берко,,2016
Долгая прогулка Билли Линна в перерыве футбольного матча,"драма,военный",Энг Ли,,2016
Достать Санту,"комедия,семейный фильм",Кристофер Смит,,2014
"Дом, милый дом",фильм-драма,,,2016
Дом странных детей мисс Перегрин,"фэнтези,приключения",Тим Бёртон,,2016
Дорога к матери,,Акан Сатаев,,2016
Дом,драматический фильм,,,
Дом с паранормальными явлениями 2,Комедия,Майкл Тиддес,,2014
Домашнее видео: Только для взрослых,комедия,Джейк Кэздан,,2014
Дом призраков,"фильм ужасов,триллер",Виктор Сальва,,2014
Долгое падение,комедийный фильм,,,
Добро пожаловать ко мне,чёрная комедия,,,2014
Добро пожаловать в джунгли,комедия,,,2014
Динозавр 13,документальный фильм,,,
"До свидания, синефилы","мокьюментари,фильм-эссе,драматический фильм",Станислав Битюцкий,,2014
Дипломатия,"исторический фильм,драма",Фолькер Шлёндорф,,2014
Гомункул,"артхаус,триллер,сатира,драма",,,
Добро пожаловать в Нью-Йорк,драма,Абель Феррара,,
Государственная граница,"историко,приключенческий","Борис Степанов,Вячеслав Никифоров,Геннадий Иванов",,
Гороскоп на удачу,,Арман Геворгян,,2015
Жених на двоих,,,,2017
Горностай,драма,,,2015
Жёлтые птицы,"драма,военный",,,2017
Живое,"научная фантастика,фильм ужасов,триллер",,,2017
Жги!,"драма,мелодрама,музыкальный",Кирилл Плетнёв,,2017
Жена смотрителя зоопарка,"военная,драма",Ники Каро,,2017
Жаркие летние ночи,драма,,,
Жена,драма,Бьёрн Рунге,,2017
Голос улиц,"драма,биография",Ф. Гэри Грей,,2015
Как отмыть миллион,"криминальный,триллер",Дени Аркан,,2018
Августовские киты,драма,Линдсей Андерсон,,1987
29-я улица,"комедия,драма",Джордж Галло,,1991
Кавалерия,"драма,военный",,,2018
Тринадцатый апостол,фантастический фильм,Сурен Бабаян,,1988
История одного назначения,драма,Авдотья Смирнова,,2018
Как женить холостяка,"драма,мелодрама,комедия",,,2018
Как не стать президентом,"биография,драма",Джейсон Райтман,,2018
Кадавр,"ужасы,триллер,детектив",,,2018
1939,драма,Йоран Кармбак,,
Бег по солнечной стороне,драма,Олег Кавун,,
Балтийская любовь,мелодрама,,,1992
Абель,комедия,Алекс ван Вармердам,,1986
4 маленькие девочки,,Спайк Ли,,1997
Беглец среди нас,"криминальный фильм,драма",Майкл Тошиюки Уно,,1992
Барака,документальный,Рон Фрике,,1992
Баффи — истребительница вампиров,"фильм ужасов,кинокомедия",,,
Ариэль,"драма,фантастика,экранизация",Евгений Котов,,1992
Армия тьмы,комедийный фильм ужасов,Сэм Рэйми,,
Арбитр,"детективный фильм,триллер",Иван Охлобыстин,,1992
Анима мунди,документальный фильм,Годфри Реджио,,1992
Амитивилль 1992: Вопрос времени,фильм ужасов,Тони Рэндл,,
"Анкор, ещё анкор!",драма,Пётр Тодоровский,,
Ангел с ружьём,драматический фильм,,,
Американский самурай,боевик,Сэм Ферстенберг,,1992
Американцы,драма,Джеймс Фоули,,1992
Американское сердце,драма,Мартин Белл,,1992
"Аляска, сэр!",,Вячеслав Ребров,,1992
Америкэн бой,"детективный фильм,боевик,триллер",Борис Квашнёв,,1992
Агент по имени Далила,триллер,Ричард Франклин,,1992
Алиса и Букинист,"мелодрама,приключения",Алексей Рудаков,,1992
Аккомпаниаторша,"драма,военный фильм",Клод Миллер,,1992
Американизируй меня,драма,Эдвард Джеймс Олмос,,1992
Авторитет,"blaxploitation,драма,боевик",Эрнест Дикерсон,,1992
1991: Год прорыва панка,документальный,,,
Бесстрашный,драма,Питер Уир,,1993
1492: Завоевание рая,"драма,исторический",Ридли Скотт,,1992
Бессловесная жертва,драма,Менахем Голан,,1993
Безжалостный 3,триллер,Джеймс Леммо,,1993
Белые волки: Крик дикой природы 2,"боевик,приключенческий фильм,семейный фильм",Кэтрин Киран,,1993
Безумный день у матушки,комедия,Доменник Шеминаль,,1993
Бесплатные деньги,"криминальный фильм,комедия",Рамон Менендез,,1993
Бенни и Джун,романтическая комедия,Джеремайя С. Чечик,,1993
Безбрежное Саргассово море,"драма,мелодрама,триллер",Джон Дайган,,1993
Безбилетник,комедия,,,1993
"Бездна, круг седьмой",драма,,,
Бедлам,"триллер,ужасы",Вадим Жан,,1993
Бегущий во времени,фантастика,Майкл Мазо,,
Баллада о маленькой Джо,вестерн,Мэгги Гринвальд,,1993
Балерина,драма,Александр Згуриди,,1993
Беглец,"детективный фильм,триллер",Эндрю Дэвис,,1993
Бегущий по льду,триллер,Бэрри Самсон,,1993
Антифауст,,,,
Аромат любви Фанфан,"мелодрама,комедия",Александр Жарден,,1993
Барабаниада,трагикомедия,Сергей Овчаров,,1993
Аромат зелёной папайи,"драма,мелодрама,музыкальный фильм",Чан Ань Хунг,,1993
В западне,"криминальный фильм,драма,мелодрама,триллер",Анджела Поуп,,1994
Анна: от 6 до 18,"документальный фильм,фильм-биография,исторический фильм",Никита Михалков,,1993
Ангелы смерти,"драма,военный фильм",Юрий Озеров,,1993
Аризонская мечта,трагикомедия,Эмир Кустурица,,1993
В баре только девушки,драма,Марита Джованни,,1994
Бонсуар,комедия,Жан-Пьер Моки,,1994
Большие мечты и разбитые сердца: История Дотти Уэст,драма,Билл Д'Элиа,,1994
Бульвар,"драма,криминальный фильм",Пенелопа Бьюитеньюи,,1994
Быть человеком,"драма,комедия,фэнтези",Билл Форсайт,,
"Будулай, которого не ждут",мелодрама,Александр Фенько,,1994
Борзые,"криминальный фильм,комедия",Ким Мэннерс,,1994
Быстрый курок,вестерн,Дэвид Листер,,1994
Бока,драма,"Уолтер Аванчини,Залман Кинг",,1994
"Божья коровка, улети на небо",драма,Кен Лоуч,,1994
Бой для бессмертных,боевик,Дэниел Неира,,1994
Бланкмэн,комедия,Майк Байндер,,
Богатенький Ричи,комедия,Дональд Петри,,1994
Бесконечная история 3,фэнтези,Питер Макдональд,,
Бессмертная возлюбленная,драма,Бернард Роуз,,1994
Бескрайнее лето 2,"документальный фильм,приключения",Брюс Браун,,1994
Блюз Чили,мелодрама,Шарль Бинаме,,1994
Берлин-39,боевик,Серджио Соллима,,1994
"Береги свою косынку, Татьяна",комедия,Аки Каурисмяки,,1994
Белый ужас,приключенческий фильм,Пол Красни,,1994
Бессмертные,"криминальный фильм,драма,Боевик,триллер",Брайан Грант,,1995
Белый клык 2: Легенда о белом волке,приключенческий фильм,Кен Олин,,1994
Белый шар,комедийный фильм,,,
Белый ангел,триллер,Крис Джонс,,
Бестолковые,"комедия,любовная история",Эми Хекерлинг,,1995
Белый карлик,научно-фантастический фильм,Питер Маркл,,1995
Безумная любовь,мелодрама,Антония Бёрд,,1995
Безумие,триллер,,,1995
Безрассудные,"комедия,драма,фэнтези",Норман Рене,,1995
Безопасность,драма,Тодд Хейнс,,1995
Безмолвный охотник,боевик,Фред Уильямсон,,1995
Безмолвие,комедия,Рон Андервуд,,
Без улик,"триллер,драма",,,1995
Без ошейника,детский,Радомир Василевский,,1995
Электронные бойцы,"фантастический,боевик,киберпанк",Эндрю Стивенс,,1995
Барышня-крестьянка,"мелодрама,комедия",Алексей Сахаров,,1995
Байки из склепа: Демон ночи,"Фильм ужасов,комедия","Эрнест Дикерсон,Гилберт Адлер",,1995
Багровый прилив,"драма,триллер",Тони Скотт,,1995
Антония,"драма,комедия",Марлен Горрис,,1995
Ангус,комедия,Пэтрик Рид Джонсон,,1995
Аполлон-13,"приключения,история,драма",Рон Ховард,,1995
Андерграунд,"Трагикомедия,фантасмагория",,,
В поисках кошки,"комедия,мелодрама",Седрик Клапиш,,1996
В погоне за солнцем,"драма,приключенческий фильм,комедия",,,1996
Бутылочная ракета,"комедия,криминальный фильм",Уэс Андерсон,,1996
Братва,"драма,криминальный фильм",Дж. К. Амалу,,1996
В любви и войне,"фильм-биография,мелодрама",Ричард Аттенборо,,1996
Большой белый обман,комедия,Реджинальд Хадлин,,1996
Больше чем жизнь,комедия,,,1996
Большая ночь,комедия-драма,"Кэмпбелл Скотт,Стэнли Туччи",,1996
Богус,фантастическая комедия,Норман Джуисон,,1996
Блуждающая пуля,"боевик,приключения",Сидни Дж. Фьюри,,1996
Глазами убийцы,"драма,комедия",Эрик Ван Лой,,1999
Гималаи,драма,Эрик Валли,,1999
Гидеон,"драма,комедия,мелодрама",Клаудиа  Гувер,,1999
Большое турне,,Патрис Леконт,,1996
Гамера 3: Месть Ирис,"драма,фэнтези,фильм ужасов",Сюсукэ Канэко,,
Герой её романа,"комедия,мелодрама",Энтони Дж. Боуман,,1999
Генеральская дочь,"драма,криминальный фильм",Саймон Уэст,,1999
"Где угодно, только не здесь","драма,комедия",Уэйн Ван,,1999
Гараж «Олимпо»,драма,Марко Бечис,,1999
Боги и монстры,"драма,биография",Билл Кондон,,1998
Большие надежды,"драма,мелодрама",Альфонсо Куарон,,1998
Большое дело,"Боевик,Комедия",,,1998
Божественный мусор,документальный,,,1998
Блокпост,"военная драма,трагикомедия",Александр Рогожкин,,1998
Ричи Рич и его рождественское желание,"комедия,семейный фильм",Джон Марловски,,1998
Блэйд,"боевик,фильм ужасов,супергероика",Стивен Норрингтон,,1998
Верность,драма,Анджей Жулавский,,2000
Белый медведь калибра 9 мм,"боевик,триллер",Тиль Швайгер,,1998
БЕЙСкетбол,комедия,Дэвид Цукер,,1998
Вертикальный луч солнца,"драма,мелодрама",Чан Ань Хунг,,2000
Вампиры в ночи,фильм о вампирах,,,
Ведьма из Блэр 2: Книга теней,"мистика,триллер,ужасы",Джо Берлингер,,2000
Ватель,"исторический фильм,драма,мелодрама,биография",Роланд Джоффе,,2000
Вдова с острова Сен-Пьер,Драма,Патрис Леконт,,2000
В чужие руки: Истории Киндертранспорта,документальный фильм,,,2000
Букет,,,,2000
В поисках брата,"драма,мелодрама",,,2000
Враг у ворот,"боевик,триллер,драма,военный,исторический",Жан-Жак Анно,,
В глубине,драма,,,2000
Восемнадцатое мгновение весны,"фарсовая,комедия",,,
Воля случая,комедия,Лайонел С. Мартин,,2001
Всё кувырком,Кинокомедия,,,2001
Вирус любви,"комедия,мелодрама",Томми О’Хейвер,,2001
Воин,драма,Азиф Каппадиа,,2001
Возвращение Джека Потрошителя,"слэшер,триллер",Джон Эйрс,,2001
Вечная битва,фильм-триллер,,,2001
Возмездие Макса Кибла,"семейный,комедия",Тим Хилл,,2001
Вечеринка окончена,документальный фильм,"Ребекка Чалкин,Донован Литч",,2001
«Властелин Колец: Братство Кольца»,"эпическое фэнтези,приключения",Питер Джексон,,
Век глупцов,"документальный,анимация,антиутопия",,,2009
Великий Медичи: рыцарь войны,"драма,исторический",Эрманно Ольми,,2001
Видок,"детектив,мистика,триллер",Жан-Кристоф «Питоф» Комар,,2001
В электрическом тумане,криминальный фильм,,,
Великий воин,"боевик,мелодрама,фэнтези",,,2009
Ведьмина гора,"фантастика,приключения,семейный фильм,триллер",Энди Фикмен,,2009
Вальхалла: Сага о викинге,"боевик,приключенческий фильм,исторический фильм",Николас Виндинг Рефн,,2009
В поисках Эрика,"драма,комедия",Кен Лоуч,,2009
В поисках Джеки,"комедия,боевик",Фан Ганлян,,2009
Бэндслэм,"комедия,музыка,мелодрама",Тодд Графф,,2009
В поисках блаженства,романтическая комедия,Джули Дэвис,,
В петле,комедия,Армандо Ианнуччи,,2009
В пути,"драма,комедия",Сэм Мендес,,2009
В Париж!,драма,Сергей Крутин,,2009
В твоих венах,драма,Беата Горделер,,2009
Городские девчонки,"комедия,драма",Боаз Якин,,2003
